variable_id,source_domain,name,primary_research_domain,secondary_research_domains,default_method_families,timing,preferred_source,measurement_requirements,inference_boundary
ACA-006,Academic influence / bibliometrics,Number of guidelines citing each paper,ACADEMIC_EPISTEMIC,,BIBLIOMETRIC_NETWORK_ANALYSIS;CITATION_LINEAGE_DEPENDENCY;REGISTRY_PUBLICATION_COMPARISON;PUBLICATION_SELECTION_MODEL,Time series,OpenAlex / Crossref / Europe PMC / PubMed / guideline corpus,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO,Measures academic diffusion/influence; not truth or causal validity
ACA-007,Academic influence / bibliometrics,Guideline citation centrality,ACADEMIC_EPISTEMIC,,BIBLIOMETRIC_NETWORK_ANALYSIS;CITATION_LINEAGE_DEPENDENCY;REGISTRY_PUBLICATION_COMPARISON;PUBLICATION_SELECTION_MODEL,Time series,OpenAlex / Crossref / Europe PMC / PubMed / guideline corpus,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO,Measures academic diffusion/influence; not truth or causal validity
ACA-008,Academic influence / bibliometrics,Policy document citation centrality,ACADEMIC_EPISTEMIC,,BIBLIOMETRIC_NETWORK_ANALYSIS;CITATION_LINEAGE_DEPENDENCY;REGISTRY_PUBLICATION_COMPARISON;PUBLICATION_SELECTION_MODEL,Time series,OpenAlex / Crossref / Europe PMC / PubMed / guideline corpus,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO,Measures academic diffusion/influence; not truth or causal validity
ACA-009,Academic influence / bibliometrics,Author co-authorship network centrality,ACADEMIC_EPISTEMIC,,BIBLIOMETRIC_NETWORK_ANALYSIS;CITATION_LINEAGE_DEPENDENCY;REGISTRY_PUBLICATION_COMPARISON;PUBLICATION_SELECTION_MODEL,Time series,OpenAlex / Crossref / Europe PMC / PubMed / guideline corpus,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO,Measures academic diffusion/influence; not truth or causal validity
ACA-010,Academic influence / bibliometrics,Institution collaboration network centrality,ACADEMIC_EPISTEMIC,,BIBLIOMETRIC_NETWORK_ANALYSIS;CITATION_LINEAGE_DEPENDENCY;REGISTRY_PUBLICATION_COMPARISON;PUBLICATION_SELECTION_MODEL,Time series,OpenAlex / Crossref / Europe PMC / PubMed / guideline corpus,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO,Measures academic diffusion/influence; not truth or causal validity
ACA-011,Academic influence / bibliometrics,Funder network centrality,ACADEMIC_EPISTEMIC,,BIBLIOMETRIC_NETWORK_ANALYSIS;CITATION_LINEAGE_DEPENDENCY;REGISTRY_PUBLICATION_COMPARISON;PUBLICATION_SELECTION_MODEL,Time series,OpenAlex / Crossref / Europe PMC / PubMed / guideline corpus,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO,Measures academic diffusion/influence; not truth or causal validity
ACA-012,Academic influence / bibliometrics,Proportion of corpus by study design,ACADEMIC_EPISTEMIC,,BIBLIOMETRIC_NETWORK_ANALYSIS;CITATION_LINEAGE_DEPENDENCY;REGISTRY_PUBLICATION_COMPARISON;PUBLICATION_SELECTION_MODEL,Time series,OpenAlex / Crossref / Europe PMC / PubMed / guideline corpus,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO,Measures academic diffusion/influence; not truth or causal validity
ACA-013,Academic influence / bibliometrics,Proportion of corpus with prospective design,ACADEMIC_EPISTEMIC,,BIBLIOMETRIC_NETWORK_ANALYSIS;CITATION_LINEAGE_DEPENDENCY;REGISTRY_PUBLICATION_COMPARISON;PUBLICATION_SELECTION_MODEL,Time series,OpenAlex / Crossref / Europe PMC / PubMed / guideline corpus,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO,Measures academic diffusion/influence; not truth or causal validity
ACA-014,Academic influence / bibliometrics,Proportion with comparator/control group,ACADEMIC_EPISTEMIC,,BIBLIOMETRIC_NETWORK_ANALYSIS;CITATION_LINEAGE_DEPENDENCY;REGISTRY_PUBLICATION_COMPARISON;PUBLICATION_SELECTION_MODEL,Time series,OpenAlex / Crossref / Europe PMC / PubMed / guideline corpus,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO,Measures academic diffusion/influence; not truth or causal validity
ACA-015,Academic influence / bibliometrics,Proportion with preregistration,ACADEMIC_EPISTEMIC,,BIBLIOMETRIC_NETWORK_ANALYSIS;CITATION_LINEAGE_DEPENDENCY;REGISTRY_PUBLICATION_COMPARISON;PUBLICATION_SELECTION_MODEL,Time series,OpenAlex / Crossref / Europe PMC / PubMed / guideline corpus,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO,Measures academic diffusion/influence; not truth or causal validity
ACA-016,Academic influence / bibliometrics,Proportion with open data/code,ACADEMIC_EPISTEMIC,,BIBLIOMETRIC_NETWORK_ANALYSIS;CITATION_LINEAGE_DEPENDENCY;REGISTRY_PUBLICATION_COMPARISON;PUBLICATION_SELECTION_MODEL,Time series,OpenAlex / Crossref / Europe PMC / PubMed / guideline corpus,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO,Measures academic diffusion/influence; not truth or causal validity
ACA-017,Academic influence / bibliometrics,Proportion with disclosed conflicts of interest,ACADEMIC_EPISTEMIC,,BIBLIOMETRIC_NETWORK_ANALYSIS;CITATION_LINEAGE_DEPENDENCY;REGISTRY_PUBLICATION_COMPARISON;PUBLICATION_SELECTION_MODEL,Time series,OpenAlex / Crossref / Europe PMC / PubMed / guideline corpus,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO,Measures academic diffusion/influence; not truth or causal validity
ACA-018,Academic influence / bibliometrics,Proportion with industry/advocacy/government funding,ACADEMIC_EPISTEMIC,,BIBLIOMETRIC_NETWORK_ANALYSIS;CITATION_LINEAGE_DEPENDENCY;REGISTRY_PUBLICATION_COMPARISON;PUBLICATION_SELECTION_MODEL,Time series,OpenAlex / Crossref / Europe PMC / PubMed / guideline corpus,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO,Measures academic diffusion/influence; not truth or causal validity
ACA-019,Academic influence / bibliometrics,Retraction/correction/expression-of-concern status,ACADEMIC_EPISTEMIC,,BIBLIOMETRIC_NETWORK_ANALYSIS;CITATION_LINEAGE_DEPENDENCY;REGISTRY_PUBLICATION_COMPARISON;PUBLICATION_SELECTION_MODEL,Time series,OpenAlex / Crossref / Europe PMC / PubMed / guideline corpus,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO,Measures academic diffusion/influence; not truth or causal validity
ACA-020,Academic influence / bibliometrics,Replication count,ACADEMIC_EPISTEMIC,,BIBLIOMETRIC_NETWORK_ANALYSIS;CITATION_LINEAGE_DEPENDENCY;REGISTRY_PUBLICATION_COMPARISON;PUBLICATION_SELECTION_MODEL,Time series,OpenAlex / Crossref / Europe PMC / PubMed / guideline corpus,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO,Measures academic diffusion/influence; not truth or causal validity
ACA-021,Academic influence / bibliometrics,Independent replication count,ACADEMIC_EPISTEMIC,,BIBLIOMETRIC_NETWORK_ANALYSIS;CITATION_LINEAGE_DEPENDENCY;REGISTRY_PUBLICATION_COMPARISON;PUBLICATION_SELECTION_MODEL,Time series,OpenAlex / Crossref / Europe PMC / PubMed / guideline corpus,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO,Measures academic diffusion/influence; not truth or causal validity
ACA-022,Academic influence / bibliometrics,Data-set reuse/dependence count,ACADEMIC_EPISTEMIC,,BIBLIOMETRIC_NETWORK_ANALYSIS;CITATION_LINEAGE_DEPENDENCY;REGISTRY_PUBLICATION_COMPARISON;PUBLICATION_SELECTION_MODEL,Time series,OpenAlex / Crossref / Europe PMC / PubMed / guideline corpus,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO,Measures academic diffusion/influence; not truth or causal validity
ACA-023,Academic influence / bibliometrics,Guideline ancestry/dependency graph,ACADEMIC_EPISTEMIC,,BIBLIOMETRIC_NETWORK_ANALYSIS;CITATION_LINEAGE_DEPENDENCY;REGISTRY_PUBLICATION_COMPARISON;PUBLICATION_SELECTION_MODEL,Time series,OpenAlex / Crossref / Europe PMC / PubMed / guideline corpus,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO,Measures academic diffusion/influence; not truth or causal validity
ACA-024,Academic influence / bibliometrics,Self-citation rate,ACADEMIC_EPISTEMIC,,BIBLIOMETRIC_NETWORK_ANALYSIS;CITATION_LINEAGE_DEPENDENCY;REGISTRY_PUBLICATION_COMPARISON;PUBLICATION_SELECTION_MODEL,Time series,OpenAlex / Crossref / Europe PMC / PubMed / guideline corpus,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO,Measures academic diffusion/influence; not truth or causal validity
ACA-025,Academic influence / bibliometrics,Citation-cluster modularity/echo-chamber index,ACADEMIC_EPISTEMIC,,BIBLIOMETRIC_NETWORK_ANALYSIS;CITATION_LINEAGE_DEPENDENCY;REGISTRY_PUBLICATION_COMPARISON;PUBLICATION_SELECTION_MODEL,Time series,OpenAlex / Crossref / Europe PMC / PubMed / guideline corpus,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO,Measures academic diffusion/influence; not truth or causal validity
ACA-026,Academic influence / bibliometrics,Stance toward proposition: supports/challenges/mixed/method-only,ACADEMIC_EPISTEMIC,,BIBLIOMETRIC_NETWORK_ANALYSIS;CITATION_LINEAGE_DEPENDENCY;REGISTRY_PUBLICATION_COMPARISON;PUBLICATION_SELECTION_MODEL,Time series,OpenAlex / Crossref / Europe PMC / PubMed / guideline corpus,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO,Measures academic diffusion/influence; not truth or causal validity
ACA-027,Academic influence / bibliometrics,Epistemic-certainty language score,ACADEMIC_EPISTEMIC,,BIBLIOMETRIC_NETWORK_ANALYSIS;CITATION_LINEAGE_DEPENDENCY;REGISTRY_PUBLICATION_COMPARISON;PUBLICATION_SELECTION_MODEL,Time series,OpenAlex / Crossref / Europe PMC / PubMed / guideline corpus,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO,Measures academic diffusion/influence; not truth or causal validity
ACA-028,Academic influence / bibliometrics,Causal-language overstatement score,ACADEMIC_EPISTEMIC,,BIBLIOMETRIC_NETWORK_ANALYSIS;CITATION_LINEAGE_DEPENDENCY;REGISTRY_PUBLICATION_COMPARISON;PUBLICATION_SELECTION_MODEL,Time series,OpenAlex / Crossref / Europe PMC / PubMed / guideline corpus,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO,Measures academic diffusion/influence; not truth or causal validity
ACA-029,Academic influence / bibliometrics,Abstract-to-full-text conclusion consistency,ACADEMIC_EPISTEMIC,,BIBLIOMETRIC_NETWORK_ANALYSIS;CITATION_LINEAGE_DEPENDENCY;REGISTRY_PUBLICATION_COMPARISON;PUBLICATION_SELECTION_MODEL,Time series,OpenAlex / Crossref / Europe PMC / PubMed / guideline corpus,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO,Measures academic diffusion/influence; not truth or causal validity
ACA-030,Academic influence / bibliometrics,Media/policy amplification lag after publication,ACADEMIC_EPISTEMIC,,BIBLIOMETRIC_NETWORK_ANALYSIS;CITATION_LINEAGE_DEPENDENCY;REGISTRY_PUBLICATION_COMPARISON;PUBLICATION_SELECTION_MODEL,Time series,OpenAlex / Crossref / Europe PMC / PubMed / guideline corpus,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO,Measures academic diffusion/influence; not truth or causal validity
ACA-031,Academic influence / bibliometrics,Time from publication to guideline incorporation,ACADEMIC_EPISTEMIC,,BIBLIOMETRIC_NETWORK_ANALYSIS;CITATION_LINEAGE_DEPENDENCY;REGISTRY_PUBLICATION_COMPARISON;PUBLICATION_SELECTION_MODEL,Time series,OpenAlex / Crossref / Europe PMC / PubMed / guideline corpus,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO,Measures academic diffusion/influence; not truth or causal validity
ACA-032,Academic influence / bibliometrics,Contrary-evidence citation rate,ACADEMIC_EPISTEMIC,,BIBLIOMETRIC_NETWORK_ANALYSIS;CITATION_LINEAGE_DEPENDENCY;REGISTRY_PUBLICATION_COMPARISON;PUBLICATION_SELECTION_MODEL,Time series,OpenAlex / Crossref / Europe PMC / PubMed / guideline corpus,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO,Measures academic diffusion/influence; not truth or causal validity
ACA-033,Academic influence / bibliometrics,Citation asymmetry toward supportive vs challenging evidence,ACADEMIC_EPISTEMIC,,BIBLIOMETRIC_NETWORK_ANALYSIS;CITATION_LINEAGE_DEPENDENCY;REGISTRY_PUBLICATION_COMPARISON;PUBLICATION_SELECTION_MODEL,Time series,OpenAlex / Crossref / Europe PMC / PubMed / guideline corpus,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO,Measures academic diffusion/influence; not truth or causal validity
ACA-034,Academic influence / bibliometrics,Research-topic prevalence over time,ACADEMIC_EPISTEMIC,,BIBLIOMETRIC_NETWORK_ANALYSIS;CITATION_LINEAGE_DEPENDENCY;REGISTRY_PUBLICATION_COMPARISON;PUBLICATION_SELECTION_MODEL,Time series,OpenAlex / Crossref / Europe PMC / PubMed / guideline corpus,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO,Measures academic diffusion/influence; not truth or causal validity
ACA-035,Academic influence / bibliometrics,Discipline composition over time,ACADEMIC_EPISTEMIC,,BIBLIOMETRIC_NETWORK_ANALYSIS;CITATION_LINEAGE_DEPENDENCY;REGISTRY_PUBLICATION_COMPARISON;PUBLICATION_SELECTION_MODEL,Time series,OpenAlex / Crossref / Europe PMC / PubMed / guideline corpus,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO,Measures academic diffusion/influence; not truth or causal validity
ACA-036,Academic influence / bibliometrics,Geographical origin of evidence,ACADEMIC_EPISTEMIC,,BIBLIOMETRIC_NETWORK_ANALYSIS;CITATION_LINEAGE_DEPENDENCY;REGISTRY_PUBLICATION_COMPARISON;PUBLICATION_SELECTION_MODEL,Time series,OpenAlex / Crossref / Europe PMC / PubMed / guideline corpus,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO,Measures academic diffusion/influence; not truth or causal validity
ACA-037,Academic influence / bibliometrics,Population representativeness of evidence base,ACADEMIC_EPISTEMIC,,BIBLIOMETRIC_NETWORK_ANALYSIS;CITATION_LINEAGE_DEPENDENCY;REGISTRY_PUBLICATION_COMPARISON;PUBLICATION_SELECTION_MODEL,Time series,OpenAlex / Crossref / Europe PMC / PubMed / guideline corpus,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO,Measures academic diffusion/influence; not truth or causal validity
ACA-038,Academic influence / bibliometrics,Autism/neurodiversity-specific publication share,ACADEMIC_EPISTEMIC,,BIBLIOMETRIC_NETWORK_ANALYSIS;CITATION_LINEAGE_DEPENDENCY;REGISTRY_PUBLICATION_COMPARISON;PUBLICATION_SELECTION_MODEL,Time series,OpenAlex / Crossref / Europe PMC / PubMed / guideline corpus,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO,Measures academic diffusion/influence; not truth or causal validity
ACA-039,Academic influence / bibliometrics,Gender-dysphoria measure-validation publication share,ACADEMIC_EPISTEMIC,,BIBLIOMETRIC_NETWORK_ANALYSIS;CITATION_LINEAGE_DEPENDENCY;REGISTRY_PUBLICATION_COMPARISON;PUBLICATION_SELECTION_MODEL,Time series,OpenAlex / Crossref / Europe PMC / PubMed / guideline corpus,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO,Measures academic diffusion/influence; not truth or causal validity
LING-001,Clinical conversation / linguistic dynamics,Recording/transcript consent state,PUBLIC_DISCOURSE,PSYCHIATRIC_PSYCHOLOGICAL,CONVERSATION_ANALYSIS;PRAGMATICS_SPEECH_ACT_ANALYSIS;STANCE_EPISTEMIC_MODALITY_ANALYSIS;RANDOMISED_AB_TEST,Encounter/repeated,Consented audio/video transcript + NLP + human coding,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;SENSITIVE_DATA_GOVERNANCE,Linguistic correlation does not prove persuasion or causation
LING-002,Clinical conversation / linguistic dynamics,Speaker identity/role diarisation,PUBLIC_DISCOURSE,PSYCHIATRIC_PSYCHOLOGICAL,CONVERSATION_ANALYSIS;PRAGMATICS_SPEECH_ACT_ANALYSIS;STANCE_EPISTEMIC_MODALITY_ANALYSIS;RANDOMISED_AB_TEST,Encounter/repeated,Consented audio/video transcript + NLP + human coding,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;SENSITIVE_DATA_GOVERNANCE,Linguistic correlation does not prove persuasion or causation
LING-003,Clinical conversation / linguistic dynamics,Speaking-time ratio clinician/patient/parent,PUBLIC_DISCOURSE,PSYCHIATRIC_PSYCHOLOGICAL,CONVERSATION_ANALYSIS;PRAGMATICS_SPEECH_ACT_ANALYSIS;STANCE_EPISTEMIC_MODALITY_ANALYSIS;RANDOMISED_AB_TEST,Encounter/repeated,Consented audio/video transcript + NLP + human coding,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;SENSITIVE_DATA_GOVERNANCE,Linguistic correlation does not prove persuasion or causation
LING-004,Clinical conversation / linguistic dynamics,Turn-taking balance,PUBLIC_DISCOURSE,PSYCHIATRIC_PSYCHOLOGICAL,CONVERSATION_ANALYSIS;PRAGMATICS_SPEECH_ACT_ANALYSIS;STANCE_EPISTEMIC_MODALITY_ANALYSIS;RANDOMISED_AB_TEST,Encounter/repeated,Consented audio/video transcript + NLP + human coding,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;SENSITIVE_DATA_GOVERNANCE,Linguistic correlation does not prove persuasion or causation
LING-005,Clinical conversation / linguistic dynamics,Interruption frequency by speaker,PUBLIC_DISCOURSE,PSYCHIATRIC_PSYCHOLOGICAL,CONVERSATION_ANALYSIS;PRAGMATICS_SPEECH_ACT_ANALYSIS;STANCE_EPISTEMIC_MODALITY_ANALYSIS;RANDOMISED_AB_TEST,Encounter/repeated,Consented audio/video transcript + NLP + human coding,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;SENSITIVE_DATA_GOVERNANCE,Linguistic correlation does not prove persuasion or causation
LING-006,Clinical conversation / linguistic dynamics,Question count by speaker,PUBLIC_DISCOURSE,PSYCHIATRIC_PSYCHOLOGICAL,CONVERSATION_ANALYSIS;PRAGMATICS_SPEECH_ACT_ANALYSIS;STANCE_EPISTEMIC_MODALITY_ANALYSIS;RANDOMISED_AB_TEST,Encounter/repeated,Consented audio/video transcript + NLP + human coding,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;SENSITIVE_DATA_GOVERNANCE,Linguistic correlation does not prove persuasion or causation
LING-007,Clinical conversation / linguistic dynamics,Open-question proportion,PUBLIC_DISCOURSE,PSYCHIATRIC_PSYCHOLOGICAL,CONVERSATION_ANALYSIS;PRAGMATICS_SPEECH_ACT_ANALYSIS;STANCE_EPISTEMIC_MODALITY_ANALYSIS;RANDOMISED_AB_TEST,Encounter/repeated,Consented audio/video transcript + NLP + human coding,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;SENSITIVE_DATA_GOVERNANCE,Linguistic correlation does not prove persuasion or causation
LING-008,Clinical conversation / linguistic dynamics,Closed-question proportion,PUBLIC_DISCOURSE,PSYCHIATRIC_PSYCHOLOGICAL,CONVERSATION_ANALYSIS;PRAGMATICS_SPEECH_ACT_ANALYSIS;STANCE_EPISTEMIC_MODALITY_ANALYSIS;RANDOMISED_AB_TEST,Encounter/repeated,Consented audio/video transcript + NLP + human coding,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;SENSITIVE_DATA_GOVERNANCE,Linguistic correlation does not prove persuasion or causation
LING-009,Clinical conversation / linguistic dynamics,Leading-question frequency,PUBLIC_DISCOURSE,PSYCHIATRIC_PSYCHOLOGICAL,CONVERSATION_ANALYSIS;PRAGMATICS_SPEECH_ACT_ANALYSIS;STANCE_EPISTEMIC_MODALITY_ANALYSIS;RANDOMISED_AB_TEST,Encounter/repeated,Consented audio/video transcript + NLP + human coding,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;SENSITIVE_DATA_GOVERNANCE,Linguistic correlation does not prove persuasion or causation
LING-010,Clinical conversation / linguistic dynamics,Presupposition frequency,PUBLIC_DISCOURSE,PSYCHIATRIC_PSYCHOLOGICAL,CONVERSATION_ANALYSIS;PRAGMATICS_SPEECH_ACT_ANALYSIS;STANCE_EPISTEMIC_MODALITY_ANALYSIS;RANDOMISED_AB_TEST,Encounter/repeated,Consented audio/video transcript + NLP + human coding,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;SENSITIVE_DATA_GOVERNANCE,Linguistic correlation does not prove persuasion or causation
LING-011,Clinical conversation / linguistic dynamics,Option-framing balance,PUBLIC_DISCOURSE,PSYCHIATRIC_PSYCHOLOGICAL,CONVERSATION_ANALYSIS;PRAGMATICS_SPEECH_ACT_ANALYSIS;STANCE_EPISTEMIC_MODALITY_ANALYSIS;RANDOMISED_AB_TEST,Encounter/repeated,Consented audio/video transcript + NLP + human coding,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;SENSITIVE_DATA_GOVERNANCE,Linguistic correlation does not prove persuasion or causation
LING-012,Clinical conversation / linguistic dynamics,Gain-versus-loss framing,PUBLIC_DISCOURSE,PSYCHIATRIC_PSYCHOLOGICAL,CONVERSATION_ANALYSIS;PRAGMATICS_SPEECH_ACT_ANALYSIS;STANCE_EPISTEMIC_MODALITY_ANALYSIS;RANDOMISED_AB_TEST,Encounter/repeated,Consented audio/video transcript + NLP + human coding,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;SENSITIVE_DATA_GOVERNANCE,Linguistic correlation does not prove persuasion or causation
LING-013,Clinical conversation / linguistic dynamics,Risk-frequency versus percentage framing,PUBLIC_DISCOURSE,PSYCHIATRIC_PSYCHOLOGICAL,CONVERSATION_ANALYSIS;PRAGMATICS_SPEECH_ACT_ANALYSIS;STANCE_EPISTEMIC_MODALITY_ANALYSIS;RANDOMISED_AB_TEST,Encounter/repeated,Consented audio/video transcript + NLP + human coding,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;SENSITIVE_DATA_GOVERNANCE,Linguistic correlation does not prove persuasion or causation
LING-014,Clinical conversation / linguistic dynamics,Order in which treatment options are presented,PUBLIC_DISCOURSE,PSYCHIATRIC_PSYCHOLOGICAL,CONVERSATION_ANALYSIS;PRAGMATICS_SPEECH_ACT_ANALYSIS;STANCE_EPISTEMIC_MODALITY_ANALYSIS;RANDOMISED_AB_TEST,Encounter/repeated,Consented audio/video transcript + NLP + human coding,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;SENSITIVE_DATA_GOVERNANCE,Linguistic correlation does not prove persuasion or causation
LING-015,Clinical conversation / linguistic dynamics,Number of options presented,PUBLIC_DISCOURSE,PSYCHIATRIC_PSYCHOLOGICAL,CONVERSATION_ANALYSIS;PRAGMATICS_SPEECH_ACT_ANALYSIS;STANCE_EPISTEMIC_MODALITY_ANALYSIS;RANDOMISED_AB_TEST,Encounter/repeated,Consented audio/video transcript + NLP + human coding,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;SENSITIVE_DATA_GOVERNANCE,Linguistic correlation does not prove persuasion or causation
LING-016,Clinical conversation / linguistic dynamics,Material options omitted from discussion,PUBLIC_DISCOURSE,PSYCHIATRIC_PSYCHOLOGICAL,CONVERSATION_ANALYSIS;PRAGMATICS_SPEECH_ACT_ANALYSIS;STANCE_EPISTEMIC_MODALITY_ANALYSIS;RANDOMISED_AB_TEST,Encounter/repeated,Consented audio/video transcript + NLP + human coding,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;SENSITIVE_DATA_GOVERNANCE,Linguistic correlation does not prove persuasion or causation
LING-017,Clinical conversation / linguistic dynamics,Clinician certainty/epistemic modality,PUBLIC_DISCOURSE,PSYCHIATRIC_PSYCHOLOGICAL,CONVERSATION_ANALYSIS;PRAGMATICS_SPEECH_ACT_ANALYSIS;STANCE_EPISTEMIC_MODALITY_ANALYSIS;RANDOMISED_AB_TEST,Encounter/repeated,Consented audio/video transcript + NLP + human coding,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;SENSITIVE_DATA_GOVERNANCE,Linguistic correlation does not prove persuasion or causation
LING-018,Clinical conversation / linguistic dynamics,Patient certainty/epistemic modality,PUBLIC_DISCOURSE,PSYCHIATRIC_PSYCHOLOGICAL,CONVERSATION_ANALYSIS;PRAGMATICS_SPEECH_ACT_ANALYSIS;STANCE_EPISTEMIC_MODALITY_ANALYSIS;RANDOMISED_AB_TEST,Encounter/repeated,Consented audio/video transcript + NLP + human coding,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;SENSITIVE_DATA_GOVERNANCE,Linguistic correlation does not prove persuasion or causation
LING-019,Clinical conversation / linguistic dynamics,Hedging frequency,PUBLIC_DISCOURSE,PSYCHIATRIC_PSYCHOLOGICAL,CONVERSATION_ANALYSIS;PRAGMATICS_SPEECH_ACT_ANALYSIS;STANCE_EPISTEMIC_MODALITY_ANALYSIS;RANDOMISED_AB_TEST,Encounter/repeated,Consented audio/video transcript + NLP + human coding,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;SENSITIVE_DATA_GOVERNANCE,Linguistic correlation does not prove persuasion or causation
LING-020,Clinical conversation / linguistic dynamics,Directive/paternalistic language score,PUBLIC_DISCOURSE,PSYCHIATRIC_PSYCHOLOGICAL,CONVERSATION_ANALYSIS;PRAGMATICS_SPEECH_ACT_ANALYSIS;STANCE_EPISTEMIC_MODALITY_ANALYSIS;RANDOMISED_AB_TEST,Encounter/repeated,Consented audio/video transcript + NLP + human coding,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;SENSITIVE_DATA_GOVERNANCE,Linguistic correlation does not prove persuasion or causation
LING-021,Clinical conversation / linguistic dynamics,Shared-decision language score,PUBLIC_DISCOURSE,PSYCHIATRIC_PSYCHOLOGICAL,CONVERSATION_ANALYSIS;PRAGMATICS_SPEECH_ACT_ANALYSIS;STANCE_EPISTEMIC_MODALITY_ANALYSIS;RANDOMISED_AB_TEST,Encounter/repeated,Consented audio/video transcript + NLP + human coding,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;SENSITIVE_DATA_GOVERNANCE,Linguistic correlation does not prove persuasion or causation
LING-022,Clinical conversation / linguistic dynamics,Empathy/validation language score,PUBLIC_DISCOURSE,PSYCHIATRIC_PSYCHOLOGICAL,CONVERSATION_ANALYSIS;PRAGMATICS_SPEECH_ACT_ANALYSIS;STANCE_EPISTEMIC_MODALITY_ANALYSIS;RANDOMISED_AB_TEST,Encounter/repeated,Consented audio/video transcript + NLP + human coding,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;SENSITIVE_DATA_GOVERNANCE,Linguistic correlation does not prove persuasion or causation
