variable_id,domain,canonical_name,candidate_causal_role,measurement_type,unit_or_encoding,temporal_anchor,preferred_source,candidate_primary_source_ids,candidate_secondary_source_ids,access_classes,privacy_class,participant_consent_rule,minimum_quality_gate,missingness_rule,linkage_rule,provenance_required,inference_boundary,acquisition_status
ACA-012,Academic influence / bibliometrics,Proportion of corpus by study design,Contextual exposure/Measurement,TEMPORAL_NUMERIC,structured/validated measure where available,Time series,OpenAlex / Crossref / Europe PMC / PubMed / guideline corpus,DS033;DS034;DS035;DS036;DS037;DS042,DS038;DS039;DS040;DS041;DS043;DS044;DS059,LICENSED;MIXED_ACCESS;OPEN;OPEN_API;PUBLIC_WEB,PUBLIC_OR_INSTITUTIONAL,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Measures academic diffusion/influence; not truth or causal validity,UNVERIFIED_FIELD_AVAILABILITY
ACA-013,Academic influence / bibliometrics,Proportion of corpus with prospective design,Contextual exposure/Measurement,TEMPORAL_NUMERIC,structured/validated measure where available,Time series,OpenAlex / Crossref / Europe PMC / PubMed / guideline corpus,DS033;DS034;DS035;DS036;DS037;DS042,DS038;DS039;DS040;DS041;DS043;DS044;DS059,LICENSED;MIXED_ACCESS;OPEN;OPEN_API;PUBLIC_WEB,PUBLIC_OR_INSTITUTIONAL,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Measures academic diffusion/influence; not truth or causal validity,UNVERIFIED_FIELD_AVAILABILITY
ACA-014,Academic influence / bibliometrics,Proportion with comparator/control group,Contextual exposure/Measurement,TEMPORAL_NUMERIC,structured/validated measure where available,Time series,OpenAlex / Crossref / Europe PMC / PubMed / guideline corpus,DS033;DS034;DS035;DS036;DS037;DS042,DS038;DS039;DS040;DS041;DS043;DS044;DS059,LICENSED;MIXED_ACCESS;OPEN;OPEN_API;PUBLIC_WEB,PUBLIC_OR_INSTITUTIONAL,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Measures academic diffusion/influence; not truth or causal validity,UNVERIFIED_FIELD_AVAILABILITY
ACA-015,Academic influence / bibliometrics,Proportion with preregistration,Contextual exposure/Measurement,TEMPORAL_NUMERIC,structured/validated measure where available,Time series,OpenAlex / Crossref / Europe PMC / PubMed / guideline corpus,DS033;DS034;DS035;DS036;DS037;DS042,DS038;DS039;DS040;DS041;DS043;DS044;DS059,LICENSED;MIXED_ACCESS;OPEN;OPEN_API;PUBLIC_WEB,PUBLIC_OR_INSTITUTIONAL,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Measures academic diffusion/influence; not truth or causal validity,UNVERIFIED_FIELD_AVAILABILITY
ACA-016,Academic influence / bibliometrics,Proportion with open data/code,Contextual exposure/Measurement,TEMPORAL_NUMERIC,structured/validated measure where available,Time series,OpenAlex / Crossref / Europe PMC / PubMed / guideline corpus,DS033;DS034;DS035;DS036;DS037;DS042,DS038;DS039;DS040;DS041;DS043;DS044;DS059,LICENSED;MIXED_ACCESS;OPEN;OPEN_API;PUBLIC_WEB,PUBLIC_OR_INSTITUTIONAL,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Measures academic diffusion/influence; not truth or causal validity,UNVERIFIED_FIELD_AVAILABILITY
ACA-017,Academic influence / bibliometrics,Proportion with disclosed conflicts of interest,Contextual exposure/Measurement,TEMPORAL_NUMERIC,structured/validated measure where available,Time series,OpenAlex / Crossref / Europe PMC / PubMed / guideline corpus,DS033;DS034;DS035;DS036;DS037;DS042,DS038;DS039;DS040;DS041;DS043;DS044;DS059,LICENSED;MIXED_ACCESS;OPEN;OPEN_API;PUBLIC_WEB,PUBLIC_OR_INSTITUTIONAL,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Measures academic diffusion/influence; not truth or causal validity,UNVERIFIED_FIELD_AVAILABILITY
ACA-018,Academic influence / bibliometrics,Proportion with industry/advocacy/government funding,Contextual exposure/Measurement,TEMPORAL_NUMERIC,structured/validated measure where available,Time series,OpenAlex / Crossref / Europe PMC / PubMed / guideline corpus,DS033;DS034;DS035;DS036;DS037;DS042,DS038;DS039;DS040;DS041;DS043;DS044;DS059,LICENSED;MIXED_ACCESS;OPEN;OPEN_API;PUBLIC_WEB,PUBLIC_OR_INSTITUTIONAL,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Measures academic diffusion/influence; not truth or causal validity,UNVERIFIED_FIELD_AVAILABILITY
ACA-019,Academic influence / bibliometrics,Retraction/correction/expression-of-concern status,Contextual exposure/Measurement,TEMPORAL_NUMERIC,structured/validated measure where available,Time series,OpenAlex / Crossref / Europe PMC / PubMed / guideline corpus,DS033;DS034;DS035;DS036;DS037;DS042,DS038;DS039;DS040;DS041;DS043;DS044;DS059,LICENSED;MIXED_ACCESS;OPEN;OPEN_API;PUBLIC_WEB,PUBLIC_OR_INSTITUTIONAL,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Measures academic diffusion/influence; not truth or causal validity,UNVERIFIED_FIELD_AVAILABILITY
ACA-020,Academic influence / bibliometrics,Replication count,Contextual exposure/Measurement,TEMPORAL_NUMERIC,structured/validated measure where available,Time series,OpenAlex / Crossref / Europe PMC / PubMed / guideline corpus,DS033;DS034;DS035;DS036;DS037;DS042,DS038;DS039;DS040;DS041;DS043;DS044;DS059,LICENSED;MIXED_ACCESS;OPEN;OPEN_API;PUBLIC_WEB,PUBLIC_OR_INSTITUTIONAL,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Measures academic diffusion/influence; not truth or causal validity,UNVERIFIED_FIELD_AVAILABILITY
ACA-021,Academic influence / bibliometrics,Independent replication count,Contextual exposure/Measurement,TEMPORAL_NUMERIC,structured/validated measure where available,Time series,OpenAlex / Crossref / Europe PMC / PubMed / guideline corpus,DS033;DS034;DS035;DS036;DS037;DS042,DS038;DS039;DS040;DS041;DS043;DS044;DS059,LICENSED;MIXED_ACCESS;OPEN;OPEN_API;PUBLIC_WEB,PUBLIC_OR_INSTITUTIONAL,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Measures academic diffusion/influence; not truth or causal validity,UNVERIFIED_FIELD_AVAILABILITY
ACA-022,Academic influence / bibliometrics,Data-set reuse/dependence count,Contextual exposure/Measurement,TEMPORAL_NUMERIC,structured/validated measure where available,Time series,OpenAlex / Crossref / Europe PMC / PubMed / guideline corpus,DS033;DS034;DS035;DS036;DS037;DS042,DS038;DS039;DS040;DS041;DS043;DS044;DS059,LICENSED;MIXED_ACCESS;OPEN;OPEN_API;PUBLIC_WEB,PUBLIC_OR_INSTITUTIONAL,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Measures academic diffusion/influence; not truth or causal validity,UNVERIFIED_FIELD_AVAILABILITY
ACA-023,Academic influence / bibliometrics,Guideline ancestry/dependency graph,Contextual exposure/Measurement,TEMPORAL_NUMERIC,structured/validated measure where available,Time series,OpenAlex / Crossref / Europe PMC / PubMed / guideline corpus,DS033;DS034;DS035;DS036;DS037;DS042,DS038;DS039;DS040;DS041;DS043;DS044;DS059,LICENSED;MIXED_ACCESS;OPEN;OPEN_API;PUBLIC_WEB,PUBLIC_OR_INSTITUTIONAL,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Measures academic diffusion/influence; not truth or causal validity,UNVERIFIED_FIELD_AVAILABILITY
ACA-024,Academic influence / bibliometrics,Self-citation rate,Contextual exposure/Measurement,TEMPORAL_NUMERIC,structured/validated measure where available,Time series,OpenAlex / Crossref / Europe PMC / PubMed / guideline corpus,DS033;DS034;DS035;DS036;DS037;DS042,DS038;DS039;DS040;DS041;DS043;DS044;DS059,LICENSED;MIXED_ACCESS;OPEN;OPEN_API;PUBLIC_WEB,PUBLIC_OR_INSTITUTIONAL,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Measures academic diffusion/influence; not truth or causal validity,UNVERIFIED_FIELD_AVAILABILITY
ACA-025,Academic influence / bibliometrics,Citation-cluster modularity/echo-chamber index,Contextual exposure/Measurement,TEMPORAL_NUMERIC,structured/validated measure where available,Time series,OpenAlex / Crossref / Europe PMC / PubMed / guideline corpus,DS033;DS034;DS035;DS036;DS037;DS042,DS038;DS039;DS040;DS041;DS043;DS044;DS059,LICENSED;MIXED_ACCESS;OPEN;OPEN_API;PUBLIC_WEB,PUBLIC_OR_INSTITUTIONAL,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Measures academic diffusion/influence; not truth or causal validity,UNVERIFIED_FIELD_AVAILABILITY
ACA-026,Academic influence / bibliometrics,Stance toward proposition: supports/challenges/mixed/method-only,Contextual exposure/Measurement,TEMPORAL_NUMERIC,structured/validated measure where available,Time series,OpenAlex / Crossref / Europe PMC / PubMed / guideline corpus,DS033;DS034;DS035;DS036;DS037;DS042,DS038;DS039;DS040;DS041;DS043;DS044;DS059,LICENSED;MIXED_ACCESS;OPEN;OPEN_API;PUBLIC_WEB,PUBLIC_OR_INSTITUTIONAL,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Measures academic diffusion/influence; not truth or causal validity,UNVERIFIED_FIELD_AVAILABILITY
ACA-027,Academic influence / bibliometrics,Epistemic-certainty language score,Contextual exposure/Measurement,TEMPORAL_NUMERIC,structured/validated measure where available,Time series,OpenAlex / Crossref / Europe PMC / PubMed / guideline corpus,DS033;DS034;DS035;DS036;DS037;DS042,DS038;DS039;DS040;DS041;DS043;DS044;DS059,LICENSED;MIXED_ACCESS;OPEN;OPEN_API;PUBLIC_WEB,PUBLIC_OR_INSTITUTIONAL,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Measures academic diffusion/influence; not truth or causal validity,UNVERIFIED_FIELD_AVAILABILITY
ACA-028,Academic influence / bibliometrics,Causal-language overstatement score,Contextual exposure/Measurement,TEMPORAL_NUMERIC,structured/validated measure where available,Time series,OpenAlex / Crossref / Europe PMC / PubMed / guideline corpus,DS033;DS034;DS035;DS036;DS037;DS042,DS038;DS039;DS040;DS041;DS043;DS044;DS059,LICENSED;MIXED_ACCESS;OPEN;OPEN_API;PUBLIC_WEB,PUBLIC_OR_INSTITUTIONAL,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Measures academic diffusion/influence; not truth or causal validity,UNVERIFIED_FIELD_AVAILABILITY
ACA-029,Academic influence / bibliometrics,Abstract-to-full-text conclusion consistency,Contextual exposure/Measurement,TEMPORAL_NUMERIC,structured/validated measure where available,Time series,OpenAlex / Crossref / Europe PMC / PubMed / guideline corpus,DS033;DS034;DS035;DS036;DS037;DS042,DS038;DS039;DS040;DS041;DS043;DS044;DS059,LICENSED;MIXED_ACCESS;OPEN;OPEN_API;PUBLIC_WEB,PUBLIC_OR_INSTITUTIONAL,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Measures academic diffusion/influence; not truth or causal validity,UNVERIFIED_FIELD_AVAILABILITY
ACA-030,Academic influence / bibliometrics,Media/policy amplification lag after publication,Contextual exposure/Measurement,TEMPORAL_NUMERIC,structured/validated measure where available,Time series,OpenAlex / Crossref / Europe PMC / PubMed / guideline corpus,DS033;DS034;DS035;DS036;DS037;DS042,DS038;DS039;DS040;DS041;DS043;DS044;DS059,LICENSED;MIXED_ACCESS;OPEN;OPEN_API;PUBLIC_WEB,PUBLIC_OR_INSTITUTIONAL,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Measures academic diffusion/influence; not truth or causal validity,UNVERIFIED_FIELD_AVAILABILITY
ACA-031,Academic influence / bibliometrics,Time from publication to guideline incorporation,Contextual exposure/Measurement,TEMPORAL_NUMERIC,structured/validated measure where available,Time series,OpenAlex / Crossref / Europe PMC / PubMed / guideline corpus,DS033;DS034;DS035;DS036;DS037;DS042,DS038;DS039;DS040;DS041;DS043;DS044;DS059,LICENSED;MIXED_ACCESS;OPEN;OPEN_API;PUBLIC_WEB,PUBLIC_OR_INSTITUTIONAL,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Measures academic diffusion/influence; not truth or causal validity,UNVERIFIED_FIELD_AVAILABILITY
ACA-032,Academic influence / bibliometrics,Contrary-evidence citation rate,Contextual exposure/Measurement,TEMPORAL_NUMERIC,structured/validated measure where available,Time series,OpenAlex / Crossref / Europe PMC / PubMed / guideline corpus,DS033;DS034;DS035;DS036;DS037;DS042,DS038;DS039;DS040;DS041;DS043;DS044;DS059,LICENSED;MIXED_ACCESS;OPEN;OPEN_API;PUBLIC_WEB,PUBLIC_OR_INSTITUTIONAL,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Measures academic diffusion/influence; not truth or causal validity,UNVERIFIED_FIELD_AVAILABILITY
ACA-033,Academic influence / bibliometrics,Citation asymmetry toward supportive vs challenging evidence,Contextual exposure/Measurement,TEMPORAL_NUMERIC,structured/validated measure where available,Time series,OpenAlex / Crossref / Europe PMC / PubMed / guideline corpus,DS033;DS034;DS035;DS036;DS037;DS042,DS038;DS039;DS040;DS041;DS043;DS044;DS059,LICENSED;MIXED_ACCESS;OPEN;OPEN_API;PUBLIC_WEB,PUBLIC_OR_INSTITUTIONAL,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Measures academic diffusion/influence; not truth or causal validity,UNVERIFIED_FIELD_AVAILABILITY
ACA-034,Academic influence / bibliometrics,Research-topic prevalence over time,Contextual exposure/Measurement,TEMPORAL_NUMERIC,structured/validated measure where available,Time series,OpenAlex / Crossref / Europe PMC / PubMed / guideline corpus,DS033;DS034;DS035;DS036;DS037;DS042,DS038;DS039;DS040;DS041;DS043;DS044;DS059,LICENSED;MIXED_ACCESS;OPEN;OPEN_API;PUBLIC_WEB,PUBLIC_OR_INSTITUTIONAL,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Measures academic diffusion/influence; not truth or causal validity,UNVERIFIED_FIELD_AVAILABILITY
ACA-035,Academic influence / bibliometrics,Discipline composition over time,Contextual exposure/Measurement,TEMPORAL_NUMERIC,structured/validated measure where available,Time series,OpenAlex / Crossref / Europe PMC / PubMed / guideline corpus,DS033;DS034;DS035;DS036;DS037;DS042,DS038;DS039;DS040;DS041;DS043;DS044;DS059,LICENSED;MIXED_ACCESS;OPEN;OPEN_API;PUBLIC_WEB,PUBLIC_OR_INSTITUTIONAL,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Measures academic diffusion/influence; not truth or causal validity,UNVERIFIED_FIELD_AVAILABILITY
ACA-036,Academic influence / bibliometrics,Geographical origin of evidence,Contextual exposure/Measurement,TEMPORAL_NUMERIC,structured/validated measure where available,Time series,OpenAlex / Crossref / Europe PMC / PubMed / guideline corpus,DS033;DS034;DS035;DS036;DS037;DS042,DS038;DS039;DS040;DS041;DS043;DS044;DS059,LICENSED;MIXED_ACCESS;OPEN;OPEN_API;PUBLIC_WEB,PUBLIC_OR_INSTITUTIONAL,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Measures academic diffusion/influence; not truth or causal validity,UNVERIFIED_FIELD_AVAILABILITY
ACA-037,Academic influence / bibliometrics,Population representativeness of evidence base,Contextual exposure/Measurement,TEMPORAL_NUMERIC,structured/validated measure where available,Time series,OpenAlex / Crossref / Europe PMC / PubMed / guideline corpus,DS033;DS034;DS035;DS036;DS037;DS042,DS038;DS039;DS040;DS041;DS043;DS044;DS059,LICENSED;MIXED_ACCESS;OPEN;OPEN_API;PUBLIC_WEB,PUBLIC_OR_INSTITUTIONAL,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Measures academic diffusion/influence; not truth or causal validity,UNVERIFIED_FIELD_AVAILABILITY
ACA-038,Academic influence / bibliometrics,Autism/neurodiversity-specific publication share,Contextual exposure/Measurement,TEMPORAL_NUMERIC,structured/validated measure where available,Time series,OpenAlex / Crossref / Europe PMC / PubMed / guideline corpus,DS033;DS034;DS035;DS036;DS037;DS042,DS038;DS039;DS040;DS041;DS043;DS044;DS059,LICENSED;MIXED_ACCESS;OPEN;OPEN_API;PUBLIC_WEB,PUBLIC_OR_INSTITUTIONAL,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Measures academic diffusion/influence; not truth or causal validity,UNVERIFIED_FIELD_AVAILABILITY
ACA-039,Academic influence / bibliometrics,Gender-dysphoria measure-validation publication share,Contextual exposure/Measurement,TEMPORAL_NUMERIC,structured/validated measure where available,Time series,OpenAlex / Crossref / Europe PMC / PubMed / guideline corpus,DS033;DS034;DS035;DS036;DS037;DS042,DS038;DS039;DS040;DS041;DS043;DS044;DS059,LICENSED;MIXED_ACCESS;OPEN;OPEN_API;PUBLIC_WEB,PUBLIC_OR_INSTITUTIONAL,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Measures academic diffusion/influence; not truth or causal validity,UNVERIFIED_FIELD_AVAILABILITY
LING-001,Clinical conversation / linguistic dynamics,Recording/transcript consent state,Exposure/Mediator/Measurement,TEMPORAL_NUMERIC,structured/validated measure where available,Encounter/repeated,Consented audio/video transcript + NLP + human coding,DS064;DS065,DS046;DS058,MIXED_ACCESS;OPEN_CORPUS;PRIMARY_RESEARCH,LOWER_SENSITIVITY_OR_AGGREGATE,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Linguistic correlation does not prove persuasion or causation,UNVERIFIED_FIELD_AVAILABILITY
LING-002,Clinical conversation / linguistic dynamics,Speaker identity/role diarisation,Exposure/Mediator/Measurement,TEMPORAL_NUMERIC,structured/validated measure where available,Encounter/repeated,Consented audio/video transcript + NLP + human coding,DS064;DS065,DS046;DS058,MIXED_ACCESS;OPEN_CORPUS;PRIMARY_RESEARCH,LOWER_SENSITIVITY_OR_AGGREGATE,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Linguistic correlation does not prove persuasion or causation,UNVERIFIED_FIELD_AVAILABILITY
